"[136, 31.31563870413779, datetime.datetime(2020, 4, 27, 23, 32, 17, 817722)]"
"[137, 31.275421130835603, datetime.datetime(2020, 4, 27, 23, 32, 20, 71273)]"
"[138, 31.252674093034827, datetime.datetime(2020, 4, 27, 23, 32, 22, 182378)]"
"[139, 31.233387840924653, datetime.datetime(2020, 4, 27, 23, 32, 24, 266974)]"
"[140, 31.199621657354612, datetime.datetime(2020, 4, 27, 23, 32, 26, 479062)]"
"[141, 31.173376515453388, datetime.datetime(2020, 4, 27, 23, 32, 28, 630455)]"
"[142, 31.153183437775358, datetime.datetime(2020, 4, 27, 23, 32, 30, 732325)]"
"[143, 31.127246889085086, datetime.datetime(2020, 4, 27, 23, 32, 32, 887781)]"
"[144, 31.08823781669006, datetime.datetime(2020, 4, 27, 23, 32, 35, 163644)]"
"[145, 31.04948389443506, datetime.datetime(2020, 4, 27, 23, 32, 37, 442921)]"
"[146, 30.973775075058168, datetime.datetime(2020, 4, 27, 23, 32, 40, 64950)]"
"[147, 30.95024785494737, datetime.datetime(2020, 4, 27, 23, 32, 42, 218510)]"
"[148, 30.93174870132176, datetime.datetime(2020, 4, 27, 23, 32, 44, 328695)]"
"[149, 30.888348163011585, datetime.datetime(2020, 4, 27, 23, 32, 46, 674550)]"
"[150, 30.874931223992313, datetime.datetime(2020, 4, 27, 23, 32, 48, 743654)]"
"[151, 30.866383385032787, datetime.datetime(2020, 4, 27, 23, 32, 50, 768234)]"
"[152, 30.8303807923116, datetime.datetime(2020, 4, 27, 23, 32, 53, 57166)]"
"[153, 30.788963563197253, datetime.datetime(2020, 4, 27, 23, 32, 55, 403815)]"
"[154, 30.77589672535482, datetime.datetime(2020, 4, 27, 23, 32, 57, 479984)]"
"[155, 30.766569715902005, datetime.datetime(2020, 4, 27, 23, 32, 59, 521176)]"
"[156, 30.740591774295773, datetime.datetime(2020, 4, 27, 23, 33, 1, 728431)]"
"[157, 30.71569586586928, datetime.datetime(2020, 4, 27, 23, 33, 3, 928623)]"
"[158, 30.699153783757723, datetime.datetime(2020, 4, 27, 23, 33, 6, 48323)]"
"[159, 30.701982483990424, datetime.datetime(2020, 4, 27, 23, 33, 7, 974174)]"
"[160, 30.665810990809355, datetime.datetime(2020, 4, 27, 23, 33, 10, 297242)]"
"[161, 30.635939685861036, datetime.datetime(2020, 4, 27, 23, 33, 12, 560964)]"
"[162, 30.600263841201837, datetime.datetime(2020, 4, 27, 23, 33, 14, 889349)]"
"[163, 30.59190866234773, datetime.datetime(2020, 4, 27, 23, 33, 16, 937406)]"
"[164, 30.582594782349016, datetime.datetime(2020, 4, 27, 23, 33, 18, 996664)]"
"[165, 30.558243736665734, datetime.datetime(2020, 4, 27, 23, 33, 21, 216538)]"
"[166, 30.511776118869697, datetime.datetime(2020, 4, 27, 23, 33, 23, 676369)]"
"[167, 30.495439768916736, datetime.datetime(2020, 4, 27, 23, 33, 25, 818745)]"
"[168, 30.491777908142588, datetime.datetime(2020, 4, 27, 23, 33, 27, 825948)]"
"[169, 30.452319839625783, datetime.datetime(2020, 4, 27, 23, 33, 30, 224588)]"
"[170, 30.449200035981697, datetime.datetime(2020, 4, 27, 23, 33, 32, 229198)]"
"[171, 30.42643881423077, datetime.datetime(2020, 4, 27, 23, 33, 34, 451779)]"
"[172, 30.395638650470335, datetime.datetime(2020, 4, 27, 23, 33, 36, 767424)]"
"[173, 30.39299626195235, datetime.datetime(2020, 4, 27, 23, 33, 38, 771081)]"
"[174, 30.3718457404043, datetime.datetime(2020, 4, 27, 23, 33, 40, 984425)]"
"[175, 30.36109841863633, datetime.datetime(2020, 4, 27, 23, 33, 43, 82318)]"
"[176, 30.337670780791893, datetime.datetime(2020, 4, 27, 23, 33, 45, 327739)]"
"[177, 30.340033857941517, datetime.datetime(2020, 4, 27, 23, 33, 47, 277595)]"
"[178, 30.29462011323821, datetime.datetime(2020, 4, 27, 23, 33, 49, 782870)]"
"[179, 30.275703054247874, datetime.datetime(2020, 4, 27, 23, 33, 51, 984935)]"
"[180, 30.268729041385598, datetime.datetime(2020, 4, 27, 23, 33, 54, 48916)]"
"[181, 30.244412933914308, datetime.datetime(2020, 4, 27, 23, 33, 56, 319614)]"
"[182, 30.241533067266364, datetime.datetime(2020, 4, 27, 23, 33, 58, 337834)]"
"[183, 30.214554189174564, datetime.datetime(2020, 4, 27, 23, 34, 0, 646055)]"
"[184, 30.192496527162522, datetime.datetime(2020, 4, 27, 23, 34, 2, 898800)]"
"[185, 30.18118237224797, datetime.datetime(2020, 4, 27, 23, 34, 5, 23861)]"
"[186, 30.187962266997936, datetime.datetime(2020, 4, 27, 23, 34, 6, 928809)]"
"[187, 30.160906246242853, datetime.datetime(2020, 4, 27, 23, 34, 9, 249780)]"
"[188, 30.164945117877398, datetime.datetime(2020, 4, 27, 23, 34, 11, 189038)]"
"[189, 30.130672254613174, datetime.datetime(2020, 4, 27, 23, 34, 13, 605700)]"
"[190, 30.119526956706572, datetime.datetime(2020, 4, 27, 23, 34, 15, 737032)]"
"[191, 30.103003554378066, datetime.datetime(2020, 4, 27, 23, 34, 17, 937954)]"
"[192, 30.08710120770424, datetime.datetime(2020, 4, 27, 23, 34, 20, 133361)]"
"[193, 30.082992515515617, datetime.datetime(2020, 4, 27, 23, 34, 22, 180133)]"
"[194, 30.0639224751201, datetime.datetime(2020, 4, 27, 23, 34, 24, 420054)]"
"[195, 30.04331421841543, datetime.datetime(2020, 4, 27, 23, 34, 26, 682755)]"
"[196, 30.040567872835954, datetime.datetime(2020, 4, 27, 23, 34, 28, 715663)]"
"[197, 30.02094455637144, datetime.datetime(2020, 4, 27, 23, 34, 30, 970149)]"
"[198, 30.001811530660255, datetime.datetime(2020, 4, 27, 23, 34, 33, 221119)]"
"[199, 29.993367182296495, datetime.datetime(2020, 4, 27, 23, 34, 35, 333043)]"
"[200, 29.974911963103008, datetime.datetime(2020, 4, 27, 23, 34, 37, 579815)]"
"[201, 29.946209147768585, datetime.datetime(2020, 4, 27, 23, 34, 39, 967124)]"
"[202, 29.941590039628824, datetime.datetime(2020, 4, 27, 23, 34, 42, 33169)]"
"[203, 29.926025881637326, datetime.datetime(2020, 4, 27, 23, 34, 44, 248620)]"
"[204, 29.90888639524083, datetime.datetime(2020, 4, 27, 23, 34, 46, 487980)]"
"[205, 29.921590614283225, datetime.datetime(2020, 4, 27, 23, 34, 48, 319432)]"
"[206, 29.8982290280734, datetime.datetime(2020, 4, 27, 23, 34, 50, 647453)]"
"[207, 29.875563946174104, datetime.datetime(2020, 4, 27, 23, 34, 52, 969395)]"
"[208, 29.872695641750244, datetime.datetime(2020, 4, 27, 23, 34, 55, 17863)]"
"[209, 29.851359723668, datetime.datetime(2020, 4, 27, 23, 34, 57, 326396)]"
"[210, 29.841240481858584, datetime.datetime(2020, 4, 27, 23, 34, 59, 479484)]"
"[211, 29.8255845027259, datetime.datetime(2020, 4, 27, 23, 35, 1, 712824)]"
"[212, 29.822341833803883, datetime.datetime(2020, 4, 27, 23, 35, 3, 770888)]"
"[213, 29.801519785629626, datetime.datetime(2020, 4, 27, 23, 35, 6, 82215)]"
"[214, 29.80543070072648, datetime.datetime(2020, 4, 27, 23, 35, 8, 39005)]"
"[215, 29.785190933611148, datetime.datetime(2020, 4, 27, 23, 35, 10, 346165)]"
